dataset_id,duong_dan,loai_du_lieu,do_tin_cay,quality_score,freshness_score,coverage_score,completeness_score,operational_readiness
booking_hotels_raw,,,,58,72,52,,analysis_only
booking_reviews_raw,,,,50,72,38,,analysis_only
traveloka_hotels_raw,,,,64,72,68,,analysis_only
traveloka_reviews_raw,,,,56,72,50,,analysis_only
hotels_inventory_silver,,,,61,72,63,,dashboard_partial
public_reviews_silver,,,,54,72,46,,dashboard_partial
weather_daily_gold,,,,86,78,90,,model_ready
weather_monthly_gold,,,,84,78,90,,model_ready
hotel_supply_gold,,,,55,72,45,,dashboard_partial
review_sentiment_gold,,,,38,72,46,,not_operational
crawler_records_bronze,,,,42,70,12,,raw_evidence_only
tourism_demand_gold,,,,5,0,0,,blocked
transport_flow_gold,,,,5,0,0,,blocked
poi_capacity_gold,,,,5,0,0,,blocked
events_calendar_gold,,,,5,0,0,,blocked
weather_all_vietnam,datasets/weather/weather_all_vietnam.csv,proxy,55,55,55,40,25,cáº§n bá»• sung
weather_archive_vietnam,datasets/weather/weather_archive_vietnam.csv,proxy,55,55,55,40,25,cáº§n bá»• sung
attraction_ticket_catalog_152918Z,datasets/gold/archive/2026-05-21/attraction_ticket_catalog_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
danh_sach_diem_den_mo_rong_152918Z,datasets/gold/archive/2026-05-21/danh_sach_diem_den_mo_rong_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
de_xuat_hieu_qua_kinh_te_152918Z,datasets/gold/archive/2026-05-21/de_xuat_hieu_qua_kinh_te_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
du_bao_thoi_tiet_7_ngay_152918Z,datasets/gold/archive/2026-05-21/du_bao_thoi_tiet_7_ngay_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
economic_action_recommendations_152918Z,datasets/gold/archive/2026-05-21/economic_action_recommendations_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
flight_price_signal_152918Z,datasets/gold/archive/2026-05-21/flight_price_signal_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
forecast_demand_scores_152918Z,datasets/gold/archive/2026-05-21/forecast_demand_scores_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
hotel_price_pressure_152918Z,datasets/gold/archive/2026-05-21/hotel_price_pressure_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kiem_dinh_proxy_152918Z,datasets/gold/archive/2026-05-21/kiem_dinh_proxy_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_confidence_scores_152918Z,datasets/gold/archive/2026-05-21/kpi_confidence_scores_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_scale_catalog_152918Z,datasets/gold/archive/2026-05-21/kpi_scale_catalog_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
local_spending_poi_152918Z,datasets/gold/archive/2026-05-21/local_spending_poi_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
national_destination_alerts_152918Z,datasets/gold/archive/2026-05-21/national_destination_alerts_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_action_recommendations_152918Z,datasets/gold/archive/2026-05-21/news_action_recommendations_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_events_152918Z,datasets/gold/archive/2026-05-21/news_events_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_risk_signals_152918Z,datasets/gold/archive/2026-05-21/news_risk_signals_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
proxy_vs_nearrealtime_comparison_152918Z,datasets/gold/archive/2026-05-21/proxy_vs_nearrealtime_comparison_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
redistribution_features_152918Z,datasets/gold/archive/2026-05-21/redistribution_features_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
thoi_tiet_hien_tai_152918Z,datasets/gold/archive/2026-05-21/thoi_tiet_hien_tai_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
ticket_pressure_scores_152918Z,datasets/gold/archive/2026-05-21/ticket_pressure_scores_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
xep_hang_canh_bao_toan_quoc_152918Z,datasets/gold/archive/2026-05-21/xep_hang_canh_bao_toan_quoc_152918Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
attraction_ticket_catalog_195431Z,datasets/gold/archive/2026-05-22/attraction_ticket_catalog_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
danh_sach_diem_den_mo_rong_195431Z,datasets/gold/archive/2026-05-22/danh_sach_diem_den_mo_rong_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
de_xuat_hieu_qua_kinh_te_195431Z,datasets/gold/archive/2026-05-22/de_xuat_hieu_qua_kinh_te_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
du_bao_thoi_tiet_7_ngay_195431Z,datasets/gold/archive/2026-05-22/du_bao_thoi_tiet_7_ngay_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
economic_action_recommendations_195431Z,datasets/gold/archive/2026-05-22/economic_action_recommendations_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
flight_price_signal_195431Z,datasets/gold/archive/2026-05-22/flight_price_signal_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
forecast_demand_scores_195431Z,datasets/gold/archive/2026-05-22/forecast_demand_scores_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
hotel_price_pressure_195431Z,datasets/gold/archive/2026-05-22/hotel_price_pressure_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kiem_dinh_proxy_195431Z,datasets/gold/archive/2026-05-22/kiem_dinh_proxy_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_confidence_scores_195431Z,datasets/gold/archive/2026-05-22/kpi_confidence_scores_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_scale_catalog_195431Z,datasets/gold/archive/2026-05-22/kpi_scale_catalog_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
local_spending_poi_195431Z,datasets/gold/archive/2026-05-22/local_spending_poi_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
national_destination_alerts_195431Z,datasets/gold/archive/2026-05-22/national_destination_alerts_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_action_recommendations_195431Z,datasets/gold/archive/2026-05-22/news_action_recommendations_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_events_195431Z,datasets/gold/archive/2026-05-22/news_events_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_risk_signals_195431Z,datasets/gold/archive/2026-05-22/news_risk_signals_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
proxy_vs_nearrealtime_comparison_195431Z,datasets/gold/archive/2026-05-22/proxy_vs_nearrealtime_comparison_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
redistribution_features_195431Z,datasets/gold/archive/2026-05-22/redistribution_features_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
thoi_tiet_hien_tai_195431Z,datasets/gold/archive/2026-05-22/thoi_tiet_hien_tai_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
ticket_pressure_scores_195431Z,datasets/gold/archive/2026-05-22/ticket_pressure_scores_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
xep_hang_canh_bao_toan_quoc_195431Z,datasets/gold/archive/2026-05-22/xep_hang_canh_bao_toan_quoc_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
attraction_ticket_catalog_034310Z,datasets/gold/archive/2026-05-22/attraction_ticket_catalog_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
danh_sach_diem_den_mo_rong_034310Z,datasets/gold/archive/2026-05-22/danh_sach_diem_den_mo_rong_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
de_xuat_hieu_qua_kinh_te_034310Z,datasets/gold/archive/2026-05-22/de_xuat_hieu_qua_kinh_te_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
du_bao_thoi_tiet_7_ngay_034310Z,datasets/gold/archive/2026-05-22/du_bao_thoi_tiet_7_ngay_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
economic_action_recommendations_034310Z,datasets/gold/archive/2026-05-22/economic_action_recommendations_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
