dataset_id,ten_tieng_viet,nguon,source_url,loai_du_lieu,tooltip_giai_thich
booking_hotels,booking hotels,repo SEA,datasets/booking/booking_hotels.csv,proxy,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_reviews,booking reviews,repo SEA,datasets/booking/booking_reviews.csv,proxy,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_scrape_status,booking scrape status,repo SEA,datasets/booking/booking_scrape_status.csv,proxy,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_hotels,booking hotels,repo SEA,datasets/bronze/booking/hotels/booking_hotels.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_hotels,booking hotels,repo SEA,datasets/bronze/booking/hotels/booking_hotels.parquet,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_reviews,booking reviews,repo SEA,datasets/bronze/booking/reviews/booking_reviews.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_reviews,booking reviews,repo SEA,datasets/bronze/booking/reviews/booking_reviews.parquet,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
crawler_records,crawler records,repo SEA,datasets/bronze/crawler_records.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
crawler_records,crawler records,repo SEA,datasets/bronze/crawler_records.parquet,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
traveloka_hotels_full,traveloka hotels full,repo SEA,datasets/bronze/traveloka/hotels/traveloka_hotels_full.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
traveloka_hotels_full,traveloka hotels full,repo SEA,datasets/bronze/traveloka/hotels/traveloka_hotels_full.parquet,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
