crawl_time,source,dataset,source_url,raw_path,output_path,status,rows,license_note,error
2026-05-18T15:53:42.975316+00:00,traveloka,hotels_bronze,D:\MONEY VERSE\datasets\traveloka\traveloka_hotels_full.csv,,D:\MONEY VERSE\datasets\bronze\traveloka\hotels\traveloka_hotels_full.csv | D:\MONEY VERSE\datasets\bronze\traveloka\hotels\traveloka_hotels_full.parquet,ok,22747,Previously collected public Traveloka data; review Traveloka terms before redistribution.,
2026-05-18T15:53:44.755223+00:00,booking,hotels_bronze,D:\MONEY VERSE\datasets\booking\booking_hotels.csv,,D:\MONEY VERSE\datasets\bronze\booking\hotels\booking_hotels.csv | D:\MONEY VERSE\datasets\bronze\booking\hotels\booking_hotels.parquet,ok,2875,Previously collected public Booking.com data; review Booking.com terms before redistribution.,
2026-05-18T15:54:03.936783+00:00,traveloka,hotels_bronze,D:\MONEY VERSE\datasets\traveloka\traveloka_hotels_full.csv,,D:\MONEY VERSE\datasets\bronze\traveloka\hotels\traveloka_hotels_full.csv | D:\MONEY VERSE\datasets\bronze\traveloka\hotels\traveloka_hotels_full.parquet,ok,22747,Previously collected public Traveloka data; review Traveloka terms before redistribution.,
2026-05-18T15:54:04.659289+00:00,booking,hotels_bronze,D:\MONEY VERSE\datasets\booking\booking_hotels.csv,,D:\MONEY VERSE\datasets\bronze\booking\hotels\booking_hotels.csv | D:\MONEY VERSE\datasets\bronze\booking\hotels\booking_hotels.parquet,ok,2875,Previously collected public Booking.com data; review Booking.com terms before redistribution.,
2026-05-18T15:54:07.328199+00:00,booking_traveloka,hotels_inventory_silver,existing_booking_and_traveloka_csv,,D:\MONEY VERSE\datasets\silver\hotels_inventory.csv | D:\MONEY VERSE\datasets\silver\hotels_inventory.parquet,ok,25622,Derived from existing public OTA CSVs; check each platform's terms before redistribution.,
2026-05-18T15:54:07.938458+00:00,traveloka,reviews_bronze,D:\MONEY VERSE\datasets\traveloka\traveloka_reviews.csv,,D:\MONEY VERSE\datasets\bronze\traveloka\reviews\traveloka_reviews.csv | D:\MONEY VERSE\datasets\bronze\traveloka\reviews\traveloka_reviews.parquet,ok,4011,Previously collected public Traveloka reviews; review Traveloka terms before redistribution.,
2026-05-18T15:54:08.127123+00:00,booking,reviews_bronze,D:\MONEY VERSE\datasets\booking\booking_reviews.csv,,D:\MONEY VERSE\datasets\bronze\booking\reviews\booking_reviews.csv | D:\MONEY VERSE\datasets\bronze\booking\reviews\booking_reviews.parquet,ok,999,Previously collected public Booking.com reviews; review Booking.com terms before redistribution.,
2026-05-18T15:54:10.558778+00:00,booking_traveloka,public_reviews_silver,existing_booking_and_traveloka_review_csv,,D:\MONEY VERSE\datasets\silver\public_reviews.csv | D:\MONEY VERSE\datasets\silver\public_reviews.parquet,ok,5010,Derived from existing public OTA review snippets; reviewer names excluded.,
2026-05-18T15:57:27.183856+00:00,open_meteo,weather_monthly_by_province_gold,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,,D:\MONEY VERSE\datasets\gold\weather_monthly_by_province.csv | D:\MONEY VERSE\datasets\gold\weather_monthly_by_province.parquet,ok,3050,Open-Meteo public API data; attribution required.,
2026-05-18T15:57:27.658474+00:00,booking_traveloka,hotel_supply_by_source_province_gold,existing_booking_and_traveloka_csv,,D:\MONEY VERSE\datasets\gold\hotel_supply_by_source_province.csv | D:\MONEY VERSE\datasets\gold\hotel_supply_by_source_province.parquet,ok,35,Aggregated from existing public OTA CSVs; check each platform's terms before redistribution.,
2026-05-18T15:57:54.642715+00:00,vietnam_tourism_statistics,international_arrivals_by_market,https://thongke.tourism.vn/index.php/statistic/stat/6?input-type=4&nam=2021%2C2022%2C2023%2C2024%2C2025%2C2026&rowcode=14&share=99&type=type1,D:\MONEY VERSE\datasets\raw\vietnam_tourism_statistics\international_arrivals_by_market\2026-05-18T155754.642715Z0000.html,,failed,0,Official public statistics portal of Vietnam National Authority of Tourism; verify reuse requirements before redistribution.,`Import lxml` failed.  Use pip or conda to install the lxml package.
2026-05-18T15:57:57.402325+00:00,vietnam_tourism_statistics,international_arrivals_by_transport,https://thongke.tourism.vn/index.php/statistic/stat/6?input-type=4&nam=2021%2C2022%2C2023%2C2024%2C2025%2C2026&rowcode=17&share=99&type=type1,D:\MONEY VERSE\datasets\raw\vietnam_tourism_statistics\international_arrivals_by_transport\2026-05-18T155757.402325Z0000.html,,failed,0,Official public statistics portal of Vietnam National Authority of Tourism; verify reuse requirements before redistribution.,`Import lxml` failed.  Use pip or conda to install the lxml package.
2026-05-18T15:57:58.648598+00:00,vietnam_tourism_statistics,domestic_visitors_by_group,https://thongke.tourism.vn/index.php/statistic/stat/13?input-type=4&nam=2021%2C2022%2C2023%2C2024%2C2025%2C2026&rowcode=24&share=99&type=type1,D:\MONEY VERSE\datasets\raw\vietnam_tourism_statistics\domestic_visitors_by_group\2026-05-18T155758.648598Z0000.html,,failed,0,Official public statistics portal of Vietnam National Authority of Tourism; verify reuse requirements before redistribution.,`Import lxml` failed.  Use pip or conda to install the lxml package.
2026-05-18T15:57:59.904430+00:00,vietnam_tourism_news,monthly_international_arrival_articles,https://vietnamtourism.vn/index.php/news/cat/20,D:\MONEY VERSE\datasets\raw\vietnam_tourism_news\monthly_international_arrival_articles\2026-05-18T155759.904430Z0000.html,,failed,0,Official Vietnam National Authority of Tourism news/statistics pages; article content is copyrighted by the publisher.,`Import lxml` failed.  Use pip or conda to install the lxml package.
2026-05-18T15:58:02.601925+00:00,civil_aviation_authority_vietnam,aviation_passenger_news,https://caa.gov.vn/hoat-dong-nganh.htm,D:\MONEY VERSE\datasets\raw\civil_aviation_authority_vietnam\aviation_passenger_news\2026-05-18T155802.601925Z0000.html,,failed,0,Official Civil Aviation Authority of Vietnam public news pages; use as source-attributed official text.,`Import lxml` failed.  Use pip or conda to install the lxml package.
2026-05-18T15:58:36.288062+00:00,vietnam_tourism_statistics,international_arrivals_by_market,https://thongke.tourism.vn/index.php/statistic/stat/6?input-type=4&nam=2021%2C2022%2C2023%2C2024%2C2025%2C2026&rowcode=14&share=99&type=type1,D:\MONEY VERSE\datasets\raw\vietnam_tourism_statistics\international_arrivals_by_market\2026-05-18T155836.288062Z0000.html,D:\MONEY VERSE\datasets\bronze\vietnam_tourism_statistics\international_arrivals_by_market\tables.csv,ok,12,Official public statistics portal of Vietnam National Authority of Tourism; verify reuse requirements before redistribution.,
2026-05-18T15:58:38.242556+00:00,vietnam_tourism_statistics,international_arrivals_by_transport,https://thongke.tourism.vn/index.php/statistic/stat/6?input-type=4&nam=2021%2C2022%2C2023%2C2024%2C2025%2C2026&rowcode=17&share=99&type=type1,D:\MONEY VERSE\datasets\raw\vietnam_tourism_statistics\international_arrivals_by_transport\2026-05-18T155838.242556Z0000.html,D:\MONEY VERSE\datasets\bronze\vietnam_tourism_statistics\international_arrivals_by_transport\tables.csv,ok,12,Official public statistics portal of Vietnam National Authority of Tourism; verify reuse requirements before redistribution.,
2026-05-18T15:58:39.599565+00:00,vietnam_tourism_statistics,domestic_visitors_by_group,https://thongke.tourism.vn/index.php/statistic/stat/13?input-type=4&nam=2021%2C2022%2C2023%2C2024%2C2025%2C2026&rowcode=24&share=99&type=type1,D:\MONEY VERSE\datasets\raw\vietnam_tourism_statistics\domestic_visitors_by_group\2026-05-18T155839.599565Z0000.html,D:\MONEY VERSE\datasets\bronze\vietnam_tourism_statistics\domestic_visitors_by_group\tables.csv,ok,12,Official public statistics portal of Vietnam National Authority of Tourism; verify reuse requirements before redistribution.,
2026-05-18T15:58:40.915761+00:00,vietnam_tourism_news,monthly_international_arrival_articles,https://vietnamtourism.vn/index.php/news/cat/20,D:\MONEY VERSE\datasets\raw\vietnam_tourism_news\monthly_international_arrival_articles\2026-05-18T155840.915761Z0000.html,D:\MONEY VERSE\datasets\bronze\vietnam_tourism_news\monthly_international_arrival_articles\tables.csv,ok,5,Official Vietnam National Authority of Tourism news/statistics pages; article content is copyrighted by the publisher.,
