destination_id,destination_name,poi_total,attraction_poi_count,service_poi_count,poi_attractiveness_raw,poi_attractiveness_score,weather_risk_score,quality_score,freshness_score,reliability_score,coverage_score,hotel_records,review_records,hotel_price_pressure_proxy,tourist_satisfaction_proxy,destination_readiness_score,data_status,source_name,source_url,collection_time,limitation
da_nang,Da Nang,80,80,80,112.0,100.0,49.64,86,90,85,90,785,36,47.81,87.42,75.02,mvp_proxy_ready,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
hoi_an,Hoi An,78,77,74,106.6,95.18,41.96,86,90,85,90,1530,278,29.49,88.93,81.82,mvp_proxy_ready,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
hue,Hue,72,70,71,98.4,87.86,61.22,86,90,85,90,810,278,14.51,86.52,68.51,mvp_proxy_ready,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
quy_nhon,Quy Nhon,76,68,63,93.2,83.21,68.32,86,90,85,90,125,0,,,52.49,mvp_proxy_ready,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
nha_trang,Nha Trang,0,0,0,0.0,0.0,43.08,86,90,85,90,1354,297,36.86,84.99,50.78,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
phu_quoc,Phu Quoc,0,0,0,0.0,0.0,57.28,86,90,85,90,1505,277,47.87,86.3,48.71,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
ha_long,Ha Long,0,0,0,0.0,0.0,84.1,86,90,85,90,1041,100,100.0,86.5,38.29,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
cat_ba,Cat Ba,0,0,0,0.0,0.0,96.38,86,90,85,90,265,24,34.25,85.17,28.68,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
sam_son,Sam Son,25,20,22,28.8,25.71,97.98,86,90,85,90,172,36,46.91,84.17,35.04,mvp_proxy_ready,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
cua_lo,Cua Lo,12,10,10,14.0,12.5,40.58,86,90,85,90,0,0,,,37.2,mvp_proxy_ready,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
