poi_id,source_name,source_url,collection_time,update_frequency,license_note,collection_method,destination_id,destination_name,poi_name,category,lat,lng,distance_to_destination_km,osm_type,osm_id,tags_json,capacity_status,quality_score,freshness_score,reliability_score,coverage_score
osm_node_729406385,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:07:02.983254+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,Cafe Win,restaurant,16.0746726,108.2187015,3.32,node,729406385,"{""amenity"": ""cafe"", ""name"": ""Cafe Win""}",missing_capacity,70,80,70,55
osm_node_729406386,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:07:02.983980+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CafeKhanh Ly,restaurant,16.0627174,108.208943,1.75,node,729406386,"{""amenity"": ""cafe"", ""name"": ""CafeKhanh Ly""}",missing_capacity,70,80,70,55
osm_node_729406387,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:07:02.984176+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,ThanhBinh Coffee,restaurant,16.0347187,108.2446539,4.27,node,729406387,"{""amenity"": ""cafe"", ""name"": ""ThanhBinh Coffee""}",missing_capacity,70,80,70,55
osm_node_729406388,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:07:02.984275+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CaPhe Fantasy,restaurant,16.0632999,108.1601536,5.3,node,729406388,"{""amenity"": ""cafe"", ""name"": ""CaPhe Fantasy""}",missing_capacity,70,80,70,55
osm_node_729406389,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:07:02.984357+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CaPhe Lang Tien,restaurant,16.0657433,108.2077628,2.08,node,729406389,"{""amenity"": ""cafe"", ""name"": ""CaPhe Lang Tien""}",missing_capacity,70,80,70,55
osm_node_729406391,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:07:02.984431+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,Cafe Truc Phuong,restaurant,16.0684586,108.1500026,6.52,node,729406391,"{""amenity"": ""cafe"", ""name"": ""Cafe Truc Phuong""}",missing_capacity,70,80,70,55
osm_node_729406392,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:07:02.984502+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,Ca Phe 83,restaurant,16.0785765,108.2193388,3.75,node,729406392,"{""amenity"": ""cafe"", ""name"": ""Ca Phe 83""}",missing_capacity,70,80,70,55
osm_node_729406393,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:07:02.984568+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,Cafe Dong Xanh,restaurant,16.0640577,108.2208466,2.41,node,729406393,"{""amenity"": ""cafe"", ""name"": ""Cafe Dong Xanh""}",missing_capacity,70,80,70,55
osm_node_729406394,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:07:02.984651+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CafeTo Be,restaurant,16.0736841,108.2182886,3.2,node,729406394,"{""amenity"": ""cafe"", ""name"": ""CafeTo Be""}",missing_capacity,70,80,70,55
osm_node_729406397,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:07:02.984785+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CaPhe Sao Mai,restaurant,16.0668568,108.1743586,4.1,node,729406397,"{""amenity"": ""cafe"", ""name"": ""CaPhe Sao Mai""}",missing_capacity,70,80,70,55
