origin_id,alternative_id,relationship_type,approx_travel_time_minutes,travel_modes,travel_friction_score,underutilized_capacity_proxy,accessibility_score,weather_suitability_score,poi_attractiveness_score,tourist_satisfaction_proxy,redistribution_opportunity_score,data_status,source_name,source_url,collection_time,limitation
da_nang,hoi_an,nearby_substitute,45,road;shuttle,12.5,70.51,87.5,58.04,95.18,88.93,78.73,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.607617+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
da_nang,hue,regional_extension,120,road;rail,33.33,85.49,66.67,38.78,87.86,86.52,71.95,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.608305+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
da_nang,quy_nhon,coastal_substitute,300,road;rail;air,83.33,0.0,16.67,31.68,83.21,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.608903+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
hoi_an,hue,heritage_pair,180,road;rail_via_da_nang,50.0,85.49,50.0,38.78,87.86,86.52,67.79,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.609435+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
nha_trang,mui_ne,coastal_substitute,240,road;rail,66.67,0.0,33.33,50.34,88.93,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.610046+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
ho_chi_minh_city,vung_tau,weekend_corridor,120,road;ferry,33.33,89.82,66.67,51.18,71.79,85.9,73.01,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.610608+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
ho_chi_minh_city,mui_ne,weekend_corridor,210,road;rail,58.33,0.0,41.67,50.34,88.93,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.611159+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
ha_noi,ninh_binh,daytrip_corridor,120,road;rail,33.33,0.0,66.67,14.62,0.0,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.611708+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
ha_noi,ha_long,coastal_heritage_corridor,180,road,50.0,0.0,50.0,15.9,0.0,86.5,28.66,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.612166+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
ha_long,cat_ba,island_substitute,90,road;ferry,25.0,65.75,75.0,3.62,0.0,85.17,48.69,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.612563+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
ha_noi,sa_pa,mountain_corridor,330,road;rail_bus,91.67,81.31,8.33,49.2,0.0,87.33,45.35,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.612940+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
sa_pa,ha_giang,mountain_substitute,360,road,100.0,0.0,0.0,28.22,0.0,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.613393+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
ha_giang,moc_chau,mountain_substitute,420,road,100.0,0.0,0.0,53.98,0.0,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.613899+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
can_tho,an_giang,mekong_corridor,180,road,50.0,0.0,50.0,59.62,0.0,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.614391+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
can_tho,ben_tre,mekong_substitute,150,road;boat,41.67,0.0,58.33,56.98,0.0,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.614897+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
phu_quoc,con_dao,island_substitute,0,air_indirect,90.0,87.23,10.0,34.38,0.0,87.45,44.3,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.615647+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
da_nang,ly_son,island_extension,210,road;ferry,58.33,0.0,41.67,16.4,0.0,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:08:42.616311+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
