destination_id,destination_name,lat,lng,collection_time,source_name,source_url,update_frequency,license_note,collection_method,temperature_2m,relative_humidity_2m,precipitation,rain,weather_code,wind_speed_10m,uv_index_max_3d,weather_risk_score,risk_method,quality_score,freshness_score,reliability_score,coverage_score,limitation
da_nang,Da Nang,16.0471,108.2068,2026-05-19T16:08:37.989800+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,27.0,94,0.1,0.1,51,8.8,8.05,49.64,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
hoi_an,Hoi An,15.8801,108.338,2026-05-19T16:08:37.990052+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,27.0,95,0.1,0.1,51,5.2,7.75,41.96,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
hue,Hue,16.4637,107.5909,2026-05-19T16:08:37.990688+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,27.1,97,0.1,0.0,95,1.9,8.0,61.22,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
quy_nhon,Quy Nhon,13.7563,109.2297,2026-05-19T16:08:37.990770+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,27.7,93,0.0,0.0,95,5.4,8.4,68.32,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
nha_trang,Nha Trang,12.2388,109.1967,2026-05-19T16:08:37.990817+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,27.7,90,0.0,0.0,3,4.6,8.7,43.08,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
phu_quoc,Phu Quoc,10.2899,103.984,2026-05-19T16:08:37.990855+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,26.6,87,0.1,0.1,51,11.6,8.7,57.28,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
ha_long,Ha Long,20.9712,107.0448,2026-05-19T16:08:37.990890+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,27.4,93,0.0,0.0,95,13.5,8.7,84.1,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
cat_ba,Cat Ba,20.7278,107.0482,2026-05-19T16:08:37.990927+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,28.0,92,0.0,0.0,95,21.1,8.35,96.38,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
sam_son,Sam Son,19.7419,105.902,2026-05-19T16:08:37.990960+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,28.8,91,0.0,0.0,95,21.1,8.75,97.98,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
cua_lo,Cua Lo,18.7929,105.722,2026-05-19T16:08:37.990991+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,28.5,85,0.0,0.0,3,9.1,6.05,40.58,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
