ma_diem_den,ten_diem_den,tinh_thanh,vung,loai_hinh,vi_do,kinh_do,la_ven_bien,nguon_du_lieu,loai_du_lieu,do_tin_cay,cap_nhat_lan_cuoi
phong_nha,Phong Nha - Kẻ Bàng,Quảng Bình,Bắc Trung Bộ,di sản;tự nhiên,17.5903,106.283,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,20/05/2026 16:56
ba_na,Bà Nà Hills,Đà Nẵng,Duyên hải miền Trung,khu vui chơi;núi,15.995,107.997,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,20/05/2026 16:56
mai_chau,Mai Châu,Hòa Bình,Miền núi phía Bắc,cộng đồng;núi,20.6629,105.083,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,20/05/2026 16:56
tam_dao,Tam Đảo,Vĩnh Phúc,Trung du miền núi Bắc Bộ,núi;nghỉ dưỡng,21.4569,105.6442,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,20/05/2026 16:56
pleiku,Pleiku,Gia Lai,Tây Nguyên,văn hóa;tự nhiên,13.9718,108.0151,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,20/05/2026 16:56
buon_ma_thuot,Buôn Ma Thuột,Đắk Lắk,Tây Nguyên,văn hóa;tự nhiên,12.6667,108.05,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,20/05/2026 16:56
hue,Hue,Hue,central_coast,heritage;urban,16.4637,107.5909,không,destination_registry hiện có,real_data_registry,80,20/05/2026 16:56
da_lat,Da Lat,Lam Dong,central_highlands,mountain;urban,11.9404,108.4583,không,destination_registry hiện có,real_data_registry,80,20/05/2026 16:56
an_giang,An Giang,An Giang,mekong_delta,mekong;heritage;nature,10.5216,105.1259,không,destination_registry hiện có,real_data_registry,80,20/05/2026 16:56
ben_tre,Ben Tre,Ben Tre,mekong_delta,mekong;nature,10.2434,106.3756,không,destination_registry hiện có,real_data_registry,80,20/05/2026 16:56
can_tho,Can Tho,Can Tho,mekong_delta,mekong;urban,10.0452,105.7469,không,destination_registry hiện có,real_data_registry,80,20/05/2026 16:56
