destination_id,ten_diem_den,diem_ap_luc,do_tin_cay,hotel_price_pressure_score,tooltip
ha_long,Ha Long,84.73,76.5,100.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
cat_ba,Cat Ba,70.81,76.5,34.25,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
quy_nhon,Quy Nhon,65.71,76.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
da_nang,Da Nang,63.06,76.5,47.81,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
mui_ne,Mui Ne,60.78,76.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
sam_son,Sam Son,58.85,76.5,46.91,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
hoi_an,Hoi An,52.25,76.5,29.49,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
hue,Hue,51.4,76.5,14.51,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
vung_tau,Vung Tau,40.95,76.5,10.18,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
cua_lo,Cua Lo,36.2,76.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ninh_binh,Ninh Binh,48.38,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ly_son,Ly Son,47.76,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ha_noi,Ha Noi,45.65,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ha_giang,Ha Giang,43.62,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
phu_quoc,Phu Quoc,37.76,61.5,47.87,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
moc_chau,Moc Chau,34.61,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ben_tre,Ben Tre,33.56,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
an_giang,An Giang,32.63,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
can_tho,Can Tho,32.07,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
nha_trang,Nha Trang,28.72,61.5,36.86,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
con_dao,Con Dao,27.69,61.5,12.77,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
sa_pa,Sa Pa,24.69,61.5,18.69,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ho_chi_minh_city,Ho Chi Minh City,16.48,61.5,0.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
da_lat,Da Lat,16.38,61.5,4.8,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
