ten_diem_den,ten_chi_so,diem_proxy,diem_near_realtime,do_lech_tuyet_doi,do_lech_phan_tram,muc_danh_gia,do_tin_cay_truoc,do_tin_cay_sau,nguon_proxy,nguon_near_realtime,cap_nhat_lan_cuoi,giai_thich
Ha Long,Áp lực điểm đến proxy so với thời tiết near-real-time,84.73,84.1,0.63,0.75,proxy rất tốt,76.5,76.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Cat Ba,Áp lực điểm đến proxy so với thời tiết near-real-time,70.81,96.38,25.57,26.53,cần theo dõi,76.5,68.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Quy Nhon,Áp lực điểm đến proxy so với thời tiết near-real-time,65.71,68.32,2.61,3.82,proxy rất tốt,76.5,76.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Da Nang,Áp lực điểm đến proxy so với thời tiết near-real-time,63.06,49.64,13.42,27.03,cần theo dõi,76.5,68.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Mui Ne,Áp lực điểm đến proxy so với thời tiết near-real-time,60.78,49.66,11.12,22.39,cần theo dõi,76.5,68.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Sam Son,Áp lực điểm đến proxy so với thời tiết near-real-time,58.85,97.98,39.13,39.94,"proxy không ổn định, giảm confidence",76.5,61.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Hoi An,Áp lực điểm đến proxy so với thời tiết near-real-time,52.25,41.96,10.29,24.52,cần theo dõi,76.5,68.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Hue,Áp lực điểm đến proxy so với thời tiết near-real-time,51.4,61.22,9.82,16.04,"proxy tốt, dùng được",76.5,73.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Vung Tau,Áp lực điểm đến proxy so với thời tiết near-real-time,40.95,48.82,7.87,16.12,"proxy tốt, dùng được",76.5,73.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Cua Lo,Áp lực điểm đến proxy so với thời tiết near-real-time,36.2,40.58,4.38,10.79,"proxy tốt, dùng được",76.5,73.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Ninh Binh,Áp lực điểm đến proxy so với thời tiết near-real-time,48.38,85.38,37.0,43.34,"proxy không ổn định, giảm confidence",61.5,46.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Ly Son,Áp lực điểm đến proxy so với thời tiết near-real-time,47.76,83.6,35.84,42.87,"proxy không ổn định, giảm confidence",61.5,46.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Ha Noi,Áp lực điểm đến proxy so với thời tiết near-real-time,45.65,77.56,31.91,41.14,"proxy không ổn định, giảm confidence",61.5,46.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Ha Giang,Áp lực điểm đến proxy so với thời tiết near-real-time,43.62,71.78,28.16,39.23,"proxy không ổn định, giảm confidence",61.5,46.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Phu Quoc,Áp lực điểm đến proxy so với thời tiết near-real-time,37.76,57.28,19.52,34.08,cần theo dõi,61.5,53.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Phong Nha - Kẻ Bàng,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Bà Nà Hills,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Mai Châu,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Tam Đảo,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Pleiku,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Buôn Ma Thuột,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Châu Đốc,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Ba Vì,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Thiên Cầm,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Nhật Lệ,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Cửa Tùng,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Hải Tiến,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Lăng Cô,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Cù Lao Chàm,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Tam Kỳ,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Sa Huỳnh,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Mỹ Khê,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
La Gi,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Phan Thiết,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Kỳ Co,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Bình Ba,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Cam Ranh,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Phan Rang - Tháp Chàm,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Vĩnh Hy,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Gành Đá Đĩa,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Tuy Hòa,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Hà Tiên,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Cô Tô,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Trà Cổ,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Hồ Tràm,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Cần Giờ,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Hòn Sơn,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Nam Du,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Bạc Liêu,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Đất Mũi Cà Mau,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Sóc Trăng,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Trà Vinh,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Đồ Sơn,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Thịnh Long,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Moc Chau,Áp lực điểm đến proxy so với thời tiết near-real-time,34.61,46.02,11.41,24.79,cần theo dõi,61.5,53.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
Ben Tre,Áp lực điểm đến proxy so với thời tiết near-real-time,33.56,43.02,9.46,21.99,cần theo dõi,61.5,53.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,20/05/2026 16:23,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
