origin_id,alternative_id,relationship_type,approx_travel_time_minutes,route_time_minutes,route_source_name,route_source_url,travel_modes,travel_friction_score,underutilized_capacity_proxy,accessibility_score,weather_suitability_score,poi_attractiveness_score,tourist_satisfaction_proxy,redistribution_opportunity_score,data_status,source_name,source_url,collection_time,limitation
da_nang,hoi_an,nearby_substitute,45,29.0,OSRM public route API,datasets\raw\mobility\osrm\route_da_nang_hoi_an_20260519T161123Z.json,road;shuttle,8.06,70.51,91.94,58.04,95.18,88.93,79.84,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:11:23.665620+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
da_nang,hue,regional_extension,120,85.7,OSRM public route API,datasets\raw\mobility\osrm\route_da_nang_hue_20260519T161124Z.json,road;rail,23.81,85.49,76.19,38.78,87.86,86.52,74.33,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:11:24.668837+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
da_nang,quy_nhon,coastal_substitute,300,231.3,OSRM public route API,datasets\raw\mobility\osrm\route_da_nang_quy_nhon_20260519T161126Z.json,road;rail;air,64.25,0.0,35.75,31.68,83.21,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:11:26.461357+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
hoi_an,hue,heritage_pair,180,105.3,OSRM public route API,datasets\raw\mobility\osrm\route_hoi_an_hue_20260519T161127Z.json,road;rail_via_da_nang,29.25,85.49,70.75,38.78,87.86,86.52,72.97,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:11:27.211123+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
nha_trang,mui_ne,coastal_substitute,240,179.3,OSRM public route API,datasets\raw\mobility\osrm\route_nha_trang_mui_ne_20260519T161128Z.json,road;rail,49.81,0.0,50.19,50.34,88.93,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:11:28.189726+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
ho_chi_minh_city,vung_tau,weekend_corridor,120,88.5,OSRM public route API,datasets\raw\mobility\osrm\route_ho_chi_minh_city_vung_tau_20260519T161128Z.json,road;ferry,24.58,89.82,75.42,51.18,71.79,85.9,75.2,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:11:28.931988+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
ho_chi_minh_city,mui_ne,weekend_corridor,210,147.6,OSRM public route API,datasets\raw\mobility\osrm\route_ho_chi_minh_city_mui_ne_20260519T161130Z.json,road;rail,41.0,0.0,59.0,50.34,88.93,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:11:30.871249+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
ha_noi,ninh_binh,daytrip_corridor,120,71.5,OSRM public route API,datasets\raw\mobility\osrm\route_ha_noi_ninh_binh_20260519T161131Z.json,road;rail,19.86,0.0,80.14,14.62,0.0,,,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:11:31.640263+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
ha_noi,ha_long,coastal_heritage_corridor,180,109.1,OSRM public route API,datasets\raw\mobility\osrm\route_ha_noi_ha_long_20260519T161132Z.json,road,30.31,0.0,69.69,15.9,65.36,86.5,43.38,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:11:32.533426+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
ha_long,cat_ba,island_substitute,90,90.0,OSRM public route API,datasets\raw\mobility\osrm\route_ha_long_cat_ba_20260519T161133Z.json,road;ferry,25.0,65.75,75.0,3.62,87.14,85.17,61.76,mvp_proxy_not_realtime,destination graph + OSM/Open-Meteo/local OTA proxy,data/metadata/destination_network_edges.csv;datasets/gold/destination_readiness_scores.csv,2026-05-19T16:11:33.285635+00:00,"No live traffic, crowd density, true occupancy, booking velocity, revenue or capacity. Use for planning, not realtime dispatch."
