"destination_id","ten_diem_den","tinh_thanh","vung","lat","lng","nhiet_do_hien_tai","kha_nang_mua","gio","do_am","phu_hop_di_bien","cap_nhat_luc","chan_doan_thieu_thoi_tiet"
"ha_long","Ha Long","Quang Ninh","northeast","20.9712","107.0448","27.4","0.0","13.5","93","Không thuận lợi","20/05/2026 17:50",""
"cat_ba","Cat Ba","Hai Phong","northeast","20.7278","107.0482","28.0","0.0","21.1","92","Không thuận lợi","20/05/2026 17:50",""
"quy_nhon","Quy Nhon","Binh Dinh","south_central_coast","13.7563","109.2297","27.7","0.0","5.4","93","Cần theo dõi","20/05/2026 17:50",""
"da_nang","Da Nang","Da Nang","central_coast","16.0471","108.2068","27.0","0.1","8.8","94","Cần theo dõi","20/05/2026 17:50",""
"mui_ne","Mui Ne","Binh Thuan","south_central_coast","10.9333","108.2833","27.1","0.1","6.7","93","Cần theo dõi","20/05/2026 17:50",""
"sam_son","Sam Son","Thanh Hoa","north_central_coast","19.7419","105.9020","28.8","0.0","21.1","91","Không thuận lợi","20/05/2026 17:50",""
"hoi_an","Hoi An","Quang Nam","central_coast","15.8801","108.3380","27.0","0.1","5.2","95","Cần theo dõi","20/05/2026 17:50",""
"hue","Hue","Hue","central_coast","16.4637","107.5909","27.1","0.1","1.9","97","Không áp dụng","20/05/2026 17:50",""
"vung_tau","Vung Tau","Ba Ria - Vung Tau","southeast","10.4114","107.1362","28.5","0.0","7.9","83","Cần theo dõi","20/05/2026 17:50",""
"cua_lo","Cua Lo","Nghe An","north_central_coast","18.7929","105.7220","28.5","0.0","9.1","85","Cần theo dõi","20/05/2026 17:50",""
"ninh_binh","Ninh Binh","Ninh Binh","red_river_delta","20.2506","105.9745","28.2","0.0","14.1","91","Không áp dụng","20/05/2026 17:50",""
"ly_son","Ly Son","Quang Ngai","central_coast_islands","15.3833","109.1167","28.1","0.0","27.0","85","Không thuận lợi","20/05/2026 17:50",""
"ha_noi","Ha Noi","Ha Noi","red_river_delta","21.0278","105.8342","27.5","0.0","12.2","94","Không áp dụng","20/05/2026 17:50",""
"ha_giang","Ha Giang","Ha Giang","northern_mountains","22.8233","104.9836","24.9","0.6","3.1","97","Không áp dụng","20/05/2026 17:50",""
"phu_quoc","Phu Quoc","Kien Giang","mekong_islands","10.2899","103.9840","26.6","0.1","11.6","87","Cần theo dõi","20/05/2026 17:50",""
"phong_nha","Phong Nha - Kẻ Bàng","Quảng Bình","Bắc Trung Bộ","17.5903","106.283","","","","","Không áp dụng","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
