destination_id,ten_diem_den,diem_ap_luc,do_tin_cay,attraction_poi_count,ticket_pressure_score,tooltip
ha_long,Ha Long,84.73,76.5,4,63.82,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
cat_ba,Cat Ba,70.81,76.5,5,56.96,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
quy_nhon,Quy Nhon,65.71,76.5,12,68.96,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
da_nang,Da Nang,63.06,76.5,0,40.99,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
mui_ne,Mui Ne,60.78,76.5,7,54.82,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
sam_son,Sam Son,58.85,76.5,1,40.44,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
hoi_an,Hoi An,52.25,76.5,4,42.71,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
hue,Hue,51.4,76.5,1,35.6,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
vung_tau,Vung Tau,40.95,76.5,16,61.62,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
cua_lo,Cua Lo,36.2,76.5,2,27.9,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
ninh_binh,Ninh Binh,48.38,61.5,0,31.45,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
ly_son,Ly Son,47.76,61.5,0,31.04,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
ha_noi,Ha Noi,45.65,61.5,0,29.67,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
ha_giang,Ha Giang,43.62,61.5,0,28.35,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
phu_quoc,Phu Quoc,37.76,61.5,0,24.54,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
moc_chau,Moc Chau,34.61,61.5,0,22.5,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
ben_tre,Ben Tre,33.56,61.5,0,21.81,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
an_giang,An Giang,32.63,61.5,0,21.21,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
can_tho,Can Tho,32.07,61.5,0,20.85,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
nha_trang,Nha Trang,28.72,61.5,0,18.67,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
con_dao,Con Dao,27.69,61.5,0,18.0,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
sa_pa,Sa Pa,24.69,61.5,0,16.05,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
ho_chi_minh_city,Ho Chi Minh City,16.48,61.5,0,10.71,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
da_lat,Da Lat,16.38,61.5,0,10.65,Proxy từ áp lực điểm đến và mật độ POI bán vé/điểm tham quan; cần API bán vé để realtime.
