"xep_hang","ten_diem_den","tinh_thanh","vung","muc_canh_bao","diem_ap_luc","diem_thoi_tiet","diem_ha_tang","diem_co_hoi_kinh_te","diem_dieu_phoi","du_bao_24_gio","du_bao_7_ngay","du_bao_30_ngay","nhiet_do_hien_tai","kha_nang_mua","gio","trang_thai_thoi_tiet_ngan","cap_nhat_thoi_tiet_luc","loai_du_lieu","do_tin_cay","ly_do_xep_hang","hanh_dong_de_xuat","hieu_qua_kinh_te_du_kien","cap_nhat_lan_cuoi"
"1","Ha Long","Quang Ninh","northeast","cam","84.73","84.1","57.9","50.88","61.76","84.54","85.08","78.59","27.4","0.0","13.5","Ổn định","20/05/2026 17:50","mixed_proxy_near_real_time","76.5","rủi ro thời tiết cao; proxy giá/lưu trú căng","Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","20/05/2026 17:50"
"2","Cat Ba","Hai Phong","northeast","cam","70.81","96.38","54.82","49.67","35.0","78.48","66.96","59.65","28.0","0.0","21.1","Ổn định","20/05/2026 17:50","mixed_proxy_near_real_time","76.5","rủi ro thời tiết cao","Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","20/05/2026 17:50"
"3","Quy Nhon","Binh Dinh","south_central_coast","vàng","65.71","68.32","52.49","47.38","35.0","66.49","65.1","60.95","27.7","0.0","5.4","Ổn định","20/05/2026 17:50","mixed_proxy_near_real_time","76.5","áp lực ở mức theo dõi từ dữ liệu hiện có","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"4","Da Nang","Da Nang","central_coast","vàng","63.06","49.64","75.02","67.11","79.84","59.03","64.47","66.4","27.0","0.1","8.8","Ổn định","20/05/2026 17:50","mixed_proxy_near_real_time","76.5","áp lực ở mức theo dõi từ dữ liệu hiện có","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"5","Mui Ne","Binh Thuan","south_central_coast","vàng","60.78","49.66","58.88","52.03","35.0","57.44","61.98","61.19","27.1","0.1","6.7","Ổn định","20/05/2026 17:50","mixed_proxy_near_real_time","76.5","áp lực ở mức theo dõi từ dữ liệu hiện có","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"6","Sam Son","Thanh Hoa","north_central_coast","vàng","58.85","97.98","35.04","28.78","35.0","70.59","53.74","43.65","28.8","0.0","21.1","Ổn định","20/05/2026 17:50","mixed_proxy_near_real_time","76.5","rủi ro thời tiết cao; hạ tầng proxy yếu","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"7","Hoi An","Quang Nam","central_coast","vàng","52.25","41.96","81.82","78.48","72.97","49.16","53.13","59.08","27.0","0.1","5.2","Ổn định","20/05/2026 17:50","mixed_proxy_near_real_time","76.5","áp lực ở mức theo dõi từ dữ liệu hiện có","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"8","Hue","Hue","central_coast","vàng","51.4","61.22","68.51","64.4","35.0","54.35","49.51","50.6","27.1","0.1","1.9","Ổn định","20/05/2026 17:50","mixed_proxy_near_real_time","76.5","áp lực ở mức theo dõi từ dữ liệu hiện có","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"9","Vung Tau","Ba Ria - Vung Tau","southeast","vàng","40.95","48.82","70.7","68.62","35.0","43.31","39.42","43.73","28.5","0.0","7.9","Ổn định","20/05/2026 17:50","mixed_proxy_near_real_time","76.5","áp lực ở mức theo dõi từ dữ liệu hiện có","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"10","Cua Lo","Nghe An","north_central_coast","xanh","36.2","40.58","37.2","28.9","35.0","37.51","35.9","34.2","28.5","0.0","9.1","Ổn định","20/05/2026 17:50","mixed_proxy_near_real_time","76.5","hạ tầng proxy yếu","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
