destination_id,ten_diem_den,metric_name,proxy_score,near_realtime_score,absolute_error,percentage_error,reliability_label,confidence_before,confidence_after,data_used_proxy,data_used_nearrealtime,last_updated,method_note
ha_long,Hạ Long,Áp lực điểm đến proxy so với thời tiết near-real-time,84.73,84.1,0.63,0.75,proxy rất tốt,76.5,76.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
cat_ba,Cát Bà,Áp lực điểm đến proxy so với thời tiết near-real-time,70.81,96.38,25.57,26.53,cần theo dõi,76.5,68.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
quy_nhon,Quy Nhơn,Áp lực điểm đến proxy so với thời tiết near-real-time,65.71,68.32,2.61,3.82,proxy rất tốt,76.5,76.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
da_nang,Đà Nẵng,Áp lực điểm đến proxy so với thời tiết near-real-time,63.06,49.64,13.42,27.03,cần theo dõi,76.5,68.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
mui_ne,Mũi Né,Áp lực điểm đến proxy so với thời tiết near-real-time,60.78,49.66,11.12,22.39,cần theo dõi,76.5,68.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
sam_son,Sầm Sơn,Áp lực điểm đến proxy so với thời tiết near-real-time,58.85,97.98,39.13,39.94,"proxy không ổn định, giảm confidence",76.5,61.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
hoi_an,Hội An,Áp lực điểm đến proxy so với thời tiết near-real-time,52.25,41.96,10.29,24.52,cần theo dõi,76.5,68.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
hue,Huế,Áp lực điểm đến proxy so với thời tiết near-real-time,51.4,61.22,9.82,16.04,"proxy tốt, dùng được",76.5,73.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
vung_tau,Vũng Tàu,Áp lực điểm đến proxy so với thời tiết near-real-time,40.95,48.82,7.87,16.12,"proxy tốt, dùng được",76.5,73.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
cua_lo,Cửa Lò,Áp lực điểm đến proxy so với thời tiết near-real-time,36.2,40.58,4.38,10.79,"proxy tốt, dùng được",76.5,73.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
ninh_binh,Ninh Bình,Áp lực điểm đến proxy so với thời tiết near-real-time,48.38,85.38,37.0,43.34,"proxy không ổn định, giảm confidence",61.5,46.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
ly_son,Lý Sơn,Áp lực điểm đến proxy so với thời tiết near-real-time,47.76,83.6,35.84,42.87,"proxy không ổn định, giảm confidence",61.5,46.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
ha_noi,Hà Nội,Áp lực điểm đến proxy so với thời tiết near-real-time,45.65,77.56,31.91,41.14,"proxy không ổn định, giảm confidence",61.5,46.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
ha_giang,Hà Giang,Áp lực điểm đến proxy so với thời tiết near-real-time,43.62,71.78,28.16,39.23,"proxy không ổn định, giảm confidence",61.5,46.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
phu_quoc,Phú Quốc,Áp lực điểm đến proxy so với thời tiết near-real-time,37.76,57.28,19.52,34.08,cần theo dõi,61.5,53.5,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
phong_nha,Phong Nha - Kẻ Bàng,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
ba_na,Bà Nà Hills,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
mai_chau,Mai Châu,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
tam_dao,Tam Đảo,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
pleiku,Pleiku,Áp lực điểm đến proxy so với thời tiết near-real-time,36.0,50.0,14.0,28.0,cần theo dõi,43.75,35.75,"POI, hotel price pressure, readiness, peak risk",Open-Meteo forecast/current snapshot,21/05/2026 09:58,So sánh proxy vận hành với thành phần near-real-time hiện có; không gọi proxy là realtime.
