ma_diem_den,ten_diem_den,tinh_thanh,vung,loai_hinh,vi_do,kinh_do,la_ven_bien,nguon_du_lieu,loai_du_lieu,do_tin_cay,cap_nhat_lan_cuoi
phong_nha,Phong Nha - Kẻ Bàng,Quảng Bình,Bắc Trung Bộ,di sản;tự nhiên,17.5903,106.283,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
hue,Huế,Huế,Duyên hải miền Trung,di sản;đô thị,16.4637,107.5909,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ba_na,Bà Nà Hills,Đà Nẵng,Duyên hải miền Trung,khu vui chơi;núi,15.995,107.997,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ha_giang,Hà Giang,Hà Giang,Miền núi phía Bắc,núi;tự nhiên,22.8233,104.9836,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
mai_chau,Mai Châu,Hòa Bình,Miền núi phía Bắc,cộng đồng;núi,20.6629,105.083,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
sa_pa,Sa Pa,Lào Cai,Miền núi phía Bắc,núi;tự nhiên,22.3364,103.8438,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
moc_chau,Mộc Châu,Sơn La,Miền núi phía Bắc,núi;tự nhiên,20.8297,104.6946,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
tam_dao,Tam Đảo,Vĩnh Phúc,Trung du miền núi Bắc Bộ,núi;nghỉ dưỡng,21.4569,105.6442,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
pleiku,Pleiku,Gia Lai,Tây Nguyên,văn hóa;tự nhiên,13.9718,108.0151,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
da_lat,Đà Lạt,Lâm Đồng,Tây Nguyên,núi;đô thị,11.9404,108.4583,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
buon_ma_thuot,Buôn Ma Thuột,Đắk Lắk,Tây Nguyên,văn hóa;tự nhiên,12.6667,108.05,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
