record_id,source,property_id,property_name,accommodation_type,location_text,province_code,district_code,rating,rating_label,review_count,room_type,price_amount,price_currency,availability_note,url,source_url,crawl_time,license_note,date
54054a621f5607486227ed7b126c83143c894c856096e88d09dfb931006f7b17,traveloka,9000001072104,Ha Noi Le Grand Hotel,Hotels,"Bach Dang Ward, Hai Ba Trung District",,,8.5,Very Good,1007,,1569.0,USD,,https://www.traveloka.com/hotel/vietnam/ha-noi-le-grand-hotel-9000001072104,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka data; review Traveloka terms before redistribution.,2026-05-17
8fdaaeebb4e62ddae09fe1f9684449e1f28e4f042cc8794ed62abb3352c0e326,traveloka,9000006125000,Dusit Le Palais Tu Hoa Hanoi,Hotels,"Nhật Tân, Tay Ho District",,,9.0,Exceptional,14,,8515.0,USD,,https://www.traveloka.com/hotel/vietnam/dusit-le-palais-tu-hoa-hanoi-9000006125000,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka data; review Traveloka terms before redistribution.,2026-05-17
fdafa41c28db3223901afc6a06c225600352fdf5b688c7198c0ee18c7ea6511e,traveloka,9000006924942,MAY Hotel & Apartment ,Hotels,"My Dinh 1, Nam Tu Liem District",,,8.9,Very Good,47,,2143.0,USD,,https://www.traveloka.com/hotel/vietnam/may-hotel--apartment--9000006924942,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka data; review Traveloka terms before redistribution.,2026-05-17
501cc5a2e5689e77794ee7f075b4c92dc44cc425ad18b640dee4d312b13742ac,traveloka,9000003249593,REY Hotel Hanoi,Hotels,"Hang Ma Ward, Hoan Kiem District",,,9.2,Exceptional,95,,7015.0,USD,,https://www.traveloka.com/hotel/vietnam/rey-hotel-hanoi-9000003249593,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka data; review Traveloka terms before redistribution.,2026-05-17
8dcb5d7df2bfc13e55340705292aac37131b2e3771f72b7549bae37eb8bc8499,traveloka,1000000399730,Classy Boutique Hotel,Hotels,"Hang Dao Ward, Hoan Kiem District",,,9.5,Exceptional,2464,,10457.0,USD,,https://www.traveloka.com/hotel/vietnam/classy-boutique-hotel-1000000399730,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka data; review Traveloka terms before redistribution.,2026-05-17
6ced496023b8188849a55e7742e39a6ebb7191fcd3847f1fd547696f3fa4a765,traveloka,1000000171688,Melia Hanoi Hotel,Hotels,"Trần Hưng Đạo, Hoan Kiem District",,,8.9,Exceptional,1112,,11832.0,USD,,https://www.traveloka.com/hotel/vietnam/melia-hanoi-hotel-1000000171688,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka data; review Traveloka terms before redistribution.,2026-05-17
fedefc94af64bf1ea0109a3f95eae5c8f2461b06fcc2c37cc98b007d68df66f5,traveloka,9000000924741,Dolce by Wyndham Hanoi Golden Lake,Hotels,"Giang Vo Ward, Ba Dinh District",,,8.9,Exceptional,200,,9466.0,USD,,https://www.traveloka.com/hotel/vietnam/dolce-by-wyndham-hanoi-golden-lake-9000000924741,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka data; review Traveloka terms before redistribution.,2026-05-17
5bfa5381d05735cd0b9451d7a383433ea4464ba82849ad2660f4e8bbccdf8dc6,traveloka,9000007484559,Nature Hotel - Lac Long Quan,Hotels,"Tay Ho District, Hanoi",,,8.9,Very Good,50,,2968.0,USD,,https://www.traveloka.com/hotel/vietnam/nature-hotel---lac-long-quan-9000007484559,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka data; review Traveloka terms before redistribution.,2026-05-17
190893d44633f5caa9283d3a7bc3e349fd435dc93e3ce40b904b5312c87482e2,traveloka,1000000367243,Grand Plaza Hotel Hanoi,Hotels,"Trung Hoa Ward, Cau Giay District",,,8.0,Very Good,659,,9902.0,USD,,https://www.traveloka.com/hotel/vietnam/grand-plaza-hotel-hanoi-1000000367243,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka data; review Traveloka terms before redistribution.,2026-05-17
908a659537f65313d3d21dad24af4c2d7a1f8b2703adbabf7a41df337d89b8b3,traveloka,3000010035168,The Bloom Classic - An Excellent Blend of Cozy Living and Urban Relaxation,Apartments,"Cau Giay District, Hanoi",,,9.0,Exceptional,186,,3137.0,USD,,https://www.traveloka.com/hotel/vietnam/the-bloom-classic---an-excellent-blend-of-cozy-living-and-urban-relaxation-3000010035168,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka data; review Traveloka terms before redistribution.,2026-05-17
