destination_id,weather_risk_score,temperature_2m,precipitation,rain,wind_speed_10m,relative_humidity_2m,weather_status_short,collection_time
phong_nha,36.29,33.6,0.0,0.0,13.4,60,Ổn định,21/05/2026 14:54
hue,9.96,28.6,1.1,0.1,1.6,86,Ổn định,21/05/2026 14:54
ba_na,13.42,21.1,0.1,0.0,1.5,94,Ổn định,21/05/2026 14:54
ha_giang,17.51,31.7,0.1,0.1,8.9,65,Ổn định,21/05/2026 14:54
mai_chau,15.18,27.5,0.1,0.1,2.8,94,Ổn định,21/05/2026 14:54
sa_pa,5.4,24.3,0.0,0.0,4.0,69,Ổn định,21/05/2026 14:54
moc_chau,14.6,24.8,0.2,0.1,3.7,92,Ổn định,21/05/2026 14:54
tam_dao,28.61,21.8,0.3,0.1,8.3,98,Ổn định,21/05/2026 14:54
pleiku,29.21,25.1,0.3,0.0,20.3,83,Ổn định,21/05/2026 14:54
da_lat,23.46,20.9,0.5,0.3,11.6,89,Ổn định,21/05/2026 14:54
buon_ma_thuot,13.67,25.8,0.4,0.4,3.9,90,Ổn định,21/05/2026 14:54
ho_chi_minh_city,12.8,31.2,0.1,0.1,8.0,67,Ổn định,21/05/2026 14:54
an_giang,21.75,27.4,0.2,0.2,9.0,92,Ổn định,21/05/2026 14:54
chau_doc,19.46,27.8,0.1,0.1,11.3,88,Ổn định,21/05/2026 14:54
ben_tre,11.21,30.5,0.0,0.0,8.3,75,Ổn định,21/05/2026 14:54
can_tho,16.07,30.4,0.0,0.0,11.9,74,Ổn định,21/05/2026 14:54
ba_vi,22.56,24.7,0.3,0.3,5.6,96,Ổn định,21/05/2026 14:54
ha_noi,32.23,28.1,1.5,0.1,10.1,93,Ổn định,21/05/2026 14:54
ninh_binh,13.43,29.7,0.1,0.0,9.5,85,Ổn định,21/05/2026 14:54
thien_cam,42.57,32.8,0.0,0.0,22.2,65,Ổn định,21/05/2026 14:54
cua_lo,21.16,33.0,0.0,0.0,5.3,66,Ổn định,21/05/2026 14:54
nhat_le,21.8,30.9,0.1,0.1,15.7,73,Ổn định,21/05/2026 14:54
cua_tung,14.49,29.6,0.1,0.1,9.4,86,Ổn định,21/05/2026 14:54
hai_tien,17.28,30.1,0.0,0.0,12.8,82,Ổn định,21/05/2026 14:54
sam_son,19.17,30.3,0.0,0.0,14.2,81,Ổn định,21/05/2026 14:54
lang_co,11.66,30.5,0.3,0.1,7.3,84,Ổn định,21/05/2026 14:54
cu_lao_cham,39.8,27.4,0.0,0.0,26.9,89,Ổn định,21/05/2026 14:54
hoi_an,46.92,33.2,0.1,0.1,22.9,64,Ổn định,21/05/2026 14:54
tam_ky,33.99,33.4,0.3,0.2,11.4,63,Ổn định,21/05/2026 14:54
sa_huynh,39.22,31.8,0.0,0.0,24.9,67,Ổn định,21/05/2026 14:54
my_khe,37.68,33.5,0.1,0.1,14.5,62,Ổn định,21/05/2026 14:54
da_nang,37.68,33.5,0.1,0.1,14.5,62,Ổn định,21/05/2026 14:54
la_gi,18.23,30.8,0.0,0.0,13.5,69,Ổn định,21/05/2026 14:54
mui_ne,24.72,31.6,0.0,0.0,15.2,66,Ổn định,21/05/2026 14:54
phan_thiet,21.22,31.1,0.0,0.0,15.2,66,Ổn định,21/05/2026 14:54
ky_co,39.2,31.6,0.0,0.0,29.7,67,Ổn định,21/05/2026 14:54
quy_nhon,39.2,31.6,0.0,0.0,29.7,67,Ổn định,21/05/2026 14:54
binh_ba,53.62,33.8,0.0,0.0,25.2,54,Ổn định,21/05/2026 14:54
cam_ranh,55.72,34.1,0.0,0.0,25.2,54,Ổn định,21/05/2026 14:54
nha_trang,45.4,32.8,0.0,0.0,24.3,61,Ổn định,21/05/2026 14:54
phan_rang,52.9,34.7,0.0,0.0,20.0,49,Ổn định,21/05/2026 14:54
