province,latitude,longitude,source,source_status,collected_at,date,temperature_2m,relative_humidity_2m,precipitation,rain,weather_code,wind_speed_10m
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 00:00:00+07:00,27.5,87.826096,0.0,0.0,3.0,8.55142
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 01:00:00+07:00,27.45,87.300575,0.0,0.0,1.0,11.238113
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 02:00:00+07:00,27.15,87.274155,0.0,0.0,2.0,8.383054
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 03:00:00+07:00,26.85,86.727036,0.0,0.0,1.0,10.587918
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 04:00:00+07:00,26.45,88.52893,0.0,0.0,3.0,8.027678
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 05:00:00+07:00,26.2,90.384766,0.0,0.0,3.0,6.015878
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 06:00:00+07:00,26.2,91.745926,0.0,0.0,3.0,7.596341
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 07:00:00+07:00,27.55,87.309425,0.0,0.0,3.0,7.5942082
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 08:00:00+07:00,28.7,83.12094,0.0,0.0,3.0,12.503199
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 09:00:00+07:00,29.15,80.26424,0.1,0.1,51.0,13.619472
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 10:00:00+07:00,30.1,76.66916,0.0,0.0,3.0,13.379461
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 11:00:00+07:00,31.25,71.79016,0.2,0.1,51.0,16.59225
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 12:00:00+07:00,32.0,67.78246,0.0,0.0,3.0,15.7908325
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 13:00:00+07:00,31.4,67.46385,0.4,0.099999994,51.0,18.03237
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 14:00:00+07:00,31.85,68.56459,0.1,0.0,95.0,17.640919
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 15:00:00+07:00,31.55,65.5043,0.0,0.0,3.0,16.670176
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 16:00:00+07:00,29.4,79.11345,1.2,0.90000004,55.0,12.800266
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 17:00:00+07:00,28.6,82.12699,0.2,0.2,51.0,14.450535
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 18:00:00+07:00,28.35,82.83407,0.0,0.0,3.0,10.44
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 19:00:00+07:00,28.05,81.81606,0.0,0.0,3.0,9.939196
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 20:00:00+07:00,27.65,83.49894,0.0,0.0,3.0,8.777654
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 21:00:00+07:00,27.4,85.74807,0.0,0.0,3.0,7.42159
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 22:00:00+07:00,27.35,86.51442,0.0,0.0,3.0,7.9383874
An Giang,10.5216,105.1259,forecast,public_open_meteo_api,2026-05-17T19:30:45.823507+00:00,2026-05-18 23:00:00+07:00,27.25,87.54361,0.0,0.0,3.0,5.315336
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 00:00:00+07:00,26.5,88.532974,0.0,0.0,3.0,7.2805495
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 01:00:00+07:00,26.3,90.66221,0.0,0.0,2.0,6.6794305
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 02:00:00+07:00,25.85,95.07362,0.7,0.099999964,53.0,3.06
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 03:00:00+07:00,25.65,98.52623,0.7,0.7,53.0,2.226477
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 04:00:00+07:00,25.5,99.112465,0.5,0.3,53.0,5.3426957
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 05:00:00+07:00,25.55,97.06935,0.3,0.20000002,51.0,4.6834598
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 06:00:00+07:00,25.5,97.35801,0.0,0.0,3.0,5.4744864
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 07:00:00+07:00,26.15,91.46922,0.0,0.0,3.0,6.1120534
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 08:00:00+07:00,27.6,82.25275,0.0,0.0,3.0,8.854829
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 09:00:00+07:00,29.7,72.16353,0.2,0.1,51.0,9.7565975
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 10:00:00+07:00,30.65,67.51906,0.5,0.3,53.0,12.081473
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 11:00:00+07:00,32.2,61.63718,0.3,0.20000002,51.0,12.157663
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 12:00:00+07:00,33.05,57.702297,0.1,0.1,51.0,13.060857
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 13:00:00+07:00,32.5,58.2737,0.3,0.10000001,51.0,15.716793
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 14:00:00+07:00,31.65,62.82764,1.0,0.39999998,55.0,13.37825
Ba Ria - Vung Tau,10.5417,107.2429,forecast,public_open_meteo_api,2026-05-17T19:30:45.831757+00:00,2026-05-18 15:00:00+07:00,29.5,77.03661,1.1,0.3,55.0,14.787414
